taxon_name,original_text,text,commonness_a,commonness_f,habitat_a,habitat_f,habitat_moisture_a,habitat_moisture_f,habitat_topographic_a,habitat_topographic_f,plant_growth_substrate_a,plant_growth_substrate_f,soil_a,soil_f,substrate_a,substrate_f
Olearia pimeleoides,"Gold, LoM, MuF, MuM, MSB, NIS, RobP, VRiv, Wim. Also WA, SA, Qld, NSW. In Victoria common in mallee, box and cypress-pine woodlands of the north and north-west.", in victoria common in mallee box and cypresspine woodlands of the north and northwest ,common,common,mallee woodland,mallee woodlands woodlands,,,,,,,,,,
Olearia ramulosa,"Brid, CVU, DunT, EGL, EGU, GipP, Glep, Gold, GGr, HNF, HSF, LoM, MuF, MuM, OtP, OtR, Strz, VAlp, VRiv, VVP, WaP, WPro, Wim.",  ,,,,,,,,,,,,,,
Olearia ramulosa var. ramulosa,"Brid, DunT, EGL, EGU, GipP, Glep, GGr, HSF, OtP, OtR, Strz, VAlp, VVP, WaP. Also SA, QLD, NSW, Tas. Common in near-coastal heaths and forests, often fringing watercourses or in gullies, also widespread through rocky ranges from the Grampians east to the New South Wales border (e.g. Mt Cole, Inglewood, Brisbane Ranges, Tyers, Mts Cobbler and Buffalo, catchments of the Buchan, Snowy, Cann and Genoa Rivers).", qld common in nearcoastal heaths and forests often fringing watercourses or in gullies also widespread through rocky ranges from the grampians east to the new south wales border eg mt cole inglewood brisbane ranges tyers mts cobbler and buffalo catchments of the buchan snowy cann and genoa rivers ,common widespread,common widespread,heath forest,heaths forests,,,gullies watercourses,gullies watercourses,,,rocky,rocky,,
Olearia ramulosa var. tomentosa,"Gold, HNF, HSF. Apparently restricted to dry open woodland on shallow soils around St Andrews, north of Melbourne. There are historic records of this taxon from Campaspe River, and the Loddon and Strathbogie Ranges, suggesting it was once more widespread.", apparently restricted to dry openwoodland on shallowsoils around st andrews north of melbourne there are historic records of this taxon from campaspe river and the loddon and strathbogie ranges suggesting it was once more widespread ,widespread,widespread,woodland_open,openwoodland openwoodland,dry,dry,,,,,soils_shallow,shallowsoils,,
Olearia rudis,"LoM, MuM, RobP, Wim. Also WA, SA, Qld, NSW. In Victoria confined to the far north-west, where usually occurring in dune-mallee communities. Commonest following fire or clearing, and apparently surviving for only c. 3–5 years.", in victoria confined to the far northwest where usually occurring in dunemallee communities commonest following fire or clearing and apparently surviving for only c 3ï¿½5 years ,,,,,,,,,,,,,,
Olearia rugosa,"CVU, EGL, EGU, GipP, HFE, HSF, Strz, WPro.",  ,,,,,,,,,,,,,,
Olearia rugosa subsp. allenderae,"GipP, WPro. Restricted to Wilsons Promontory National Park, occurs in swampy areas dominated by Melalecua squarrosa or gully slopes in open forest.", restricted to wilsons promontory national park occurs in swampy areas dominated by melalecua squarrosa or gully slopes in openforest ,,,forest_open swamp,openforest swampy,wet,swampy,slopes,slopes,,,,,,
Olearia rugosa subsp. angustifolia,"EGL, EGU. Restricted to near-coastal areas of East Gippsland (Cabbage Tree Creek to Mallacoota), usually near streams and swamps or on sandy rises.", restricted to nearcoastal areas of east gippsland cabbage tree creek to mallacoota usually near streams and swamps or on sandy rises ,,,swamp,swamps swamps,wet,swamps,,,,,sand,sandy,,
Olearia rugosa subsp. distalilobata,"EGU. Also recorded from Mt Imlay, NSW. Rare, occurs in montane forest east of the Snowy River (Mt Bowen, Errinundra plateau, Mt. Kaye), often in depressions and gullies.", also recorded from mt imlay rare occurs in montane forest east of the snowy river mt bowen errinundra plateaus mt kaye often in depressions and gullies ,rare,rare,montane forest,montane forest,,,depressions gullies plateaus,depressions gullies plateaus,,,,,,
Olearia rugosa subsp. rugosa,"CVU, GipP, HSF, Strz. Occurs in wet and damp forest on southern slopes of the Dividing Range from Mount Macedon to Drouin, with isolated records from Mount Buangor and the Strzelecki Ranges.", occurs in wet and damp forest on southern slopes of the dividing range from mount macedon to drouin with isolated records from mount buangor and the strzelecki ranges ,,,forest,forest,damp wet,damp damp wet,slopes,slopes,,,,,,
Olearia sp. 1,"Also WA, SA. Known in Victoria by only one collection with precise locality, from heathland near Mt Byron in the Black Range (collected 1948). Three other pre-1900 specimens at MEL are labelled 'Wimmera' or 'mallee scrub, Shire of Dimboola'.", known in victoria by only one collection with precise locality from heathland near mt byron in the black range collected 1948 three other pre1900 specimens at mel are labelled wimmera or malleescrub shire of dimboola ,,,shrubland_mallee heath mallee,malleescrub heathland mallees,,,,,,,,,,
Olearia sp. 2,"GipP. Apparently endemic in Victoria. Known only from coastal dunes and cliffs near Moonlight Head, Point Franklin, Cape Schanck, St Andrews Beach, Portsea, and Phillip Island.", apparently endemic in victoria known only from coastal dunes and cliffs near moonlight head point franklin cape schanck st andrews beach portsea and phillip island ,,,sandunes beach cliffs,dunes dunes beach cliffs,,,cliff,cliffs,,,,,,
Olearia speciosa,"Brid, CVU, Glep, GGr, HNF, HSF, MonT, OtP, OtR, VAlp, VVP, WaP. Apparently endemic. Scattered in cool, well-watered areas from near sea-level in the far south-west to montane forest in western and central ranges (e.g. Lower Glenelg National Park, Mt William and Major Mitchell Plateau, Mt Cole, Wonga Forest near Colac, Matrock, Murrindindi, and Mount Wellington).", apparently endemic scattered in cool wellwatered areas from near sealevel in the far southwest to montane forest in western and central ranges eg lower glenelg national park mt william and major mitchell plateaus mt cole wonga forest near colac matrock murrindindi and mount wellington ,scattered,scattered,montane forest,montane forest,,,plateaus,plateaus,,,,,,
Olearia stellulata,"GipP, OtP, OtR, WaP, WPro. Also Tas. In Victoria apparently restricted to Chapple Vale area. Willis (1973) and subsequently Walsh & Lander (1999) reported this species as also occurring at Mt Clay near Portland. However, there are no vouchered records of this species from that location.", in victoria apparently restricted to chapple vale area willis 1973 and subsequently walsh  lander 1999 reported this species as also occurring at mt clay near portland however there are no vouchered records of this species from that location ,,,,,,,,,,,clay,clay,,
Olearia stricta,"EGU, VAlp.",  ,,,,,,,,,,,,,,
Olearia stricta subsp. stricta,"EGU, VAlp. Occurs at relatively high altitudes (c. 700–1400 m alt.) on dry rocky sites around Licola, Omeo and Mount Buffalo.", occurs at relatively high altitudes c 700ï¿½1400 m alt on dry rockysites around licola omeo and mount buffalo ,,,,,dry,dry,rocky,rockysites,,,rocky,rockysites rockys,,
Olearia subspicata,"LoM, MuM, RobP. Also WA, SA, Qld, NSW. Very rare in Victoria, known only from sandy mallee communities of the far north-west, between Carwarp and Annuello, with most records from Hattah Lakes National Park.", veryrare in victoria known only from sandy mallee communities of the far northwest between carwarp and annuello with most records from hattah lakes national park ,very_rare,veryrare,lakes mallee,lakes mallee,,,,,,,sand,sandy,,
Olearia suffruticosa,"DunT, Glep, GGr. Also SA, NSW. Rare in Victoria, confined to swampy heathland near Glenisla, Casterton and Dergholm.", rare in victoria confined to swampy heathland near glenisla casterton and dergholm ,rare,rare,heath swamp,heathland swampy,wet,swampy,,,,,,,,
Olearia tenuifolia,"EGU, GipP, HNF, HSF, NIS, SnM, VAlp. Also NSW. Rare, apparently confined in Victoria to dry rocky country in the Licola-Valencia Creek area, upper Buchan River valley and Pine Mountain.", rare apparently confined in victoria to dry rocky country in the licolavalencia creek area upper buchan rivervalley and pine mountain ,rare,rare,,,dry,dry,valley,rivervalley,,,rocky,rocky,,
Olearia teretifolia,"CVU, GipP, Gold, HSF, OtP, OtR, VVP, Wim. Also SA. In Victoria rather common in box-ironbark forests and whipstick mallee of the central north (St Arnaud, Inglewood, Bendigo, Rushworth areas), with disjunct occurrences in the Torquay-Anglesea area and in the Brisbane Ranges.", in victoria rather common in boxironbark forests and whipstick mallee of the central north st arnaud inglewood bendigo rushworth areas with disjunct occurrences in the torquayanglesea area and in the brisbane ranges ,common,common,mallee forest,mallee forests,,,,,,,,,,
Olearia tomentosa,"EGL, EGU, HFE. Also NSW. In Victoria confined to the Howe Range (east of Mallacoota Inlet), where occasional in open-forest, usually on sandy or granitic loam soils.", in victoria confined to the howe range east of mallacoota inlet where occasional in openforest usually on sandy or granitic loam soils ,,,forest_open,openforest,,,,,,,loam sand,loam sandy,granite,granitic
Olearia tubuliflora,"CVU, GipP, Gold, GGr, OtP, VRiv, VVP. Also SA, NSW. Scattered through north-central Victoria (e.g. Maryborough, Bendigo, Avoca districts) usually in box--ironbark forest on poor gravelly soils, with outlying occurrences in southern parts of the Brisbane Ranges and near Anglesea. A pre-1900 collection of this species was supposedly collected from Lakes Entrance, but it is questionable whether this location is accurate.", scattered through northcentral victoria eg maryborough bendigo avoca districts usually in boxironbark forest on poor gravelly soils with outlying occurrences in southern parts of the brisbane ranges and near anglesea a pre1900 collection of this species was supposedly collected from lakes entrance but it is questionable whether this location is accurate ,scattered,scattered,lakes forest,lakes forest,,,,,,,gravelly,gravelly,,
Olearia viscosa,"EGL, GipP. Also Tas. Confined to coastal scrub and rainforest margins near Lakes Entrance (e.g. Nyerimilang, Kalimna, Lake Tyers).", confined to coastal scrub and rainforest margins near lakes entrance eg nyerimilang kalimna lake tyers ,,,lakes rainforest scrub,lakes rainforest scrub,,,,,,,,,,
Omphacomeria acerba,"EGL, EGU, HFE, HNF, HSF, MonT, NIS, SnM, VAlp, VRiv. Also WA, NSW, ACT. In Victoria confined to the north-east and east where occasional in dry, scrubby montane forests and woodlands, rarely near the coast, often in rocky soil.", in victoria confined to the northeast and east where occasional in dry scrubby montane forests and woodlands rarely near the coast often in rocky soil ,,,montane forest woodland,montane forests woodlands woodlands,dry,dry,,,,,rocky,rocky,,
Omphalolappula concava,"EGU, LoM, MuF, MuM, RobP, Wim. Also WA, NT, SA, Qld, NSW. Apart from isolated occurrences in dry woodlands near Suggan Buggan in the east, confined to mallee scrubs, lake margins and saline flats in the north-west.", apart from isolated occurrences in drywoodlands near suggan buggan in the east confined to malleescrubs lakemargins and saline flats in the northwest ,,,lake_margins shrubland_mallee woodland_dry mallee,lakemargins malleescrubs drywoodlands mallees,,,flats,flats,,,,,saline,saline
Oncosiphon piluliferum,Naturalised in WA. Native to South Africa. Known in Victoria by a few old collections from Coode Island and Geelong., naturalised in native to south africa known in victoria by a few old collections from coode island and geelong ,,,,,,,,,,,,,,
Oncosiphon suffruticosum,"*MSB, *VVP. Also naturalised WA, SA. Native to South Africa. Currently known in Victoria by an old collection from Williamstown and, more recently, a stand of c. 50 plants near Lake Wallawalla in the far north-west, where growing in a roadside drain.", also naturalised native to south africa currently known in victoria by an old collection from williamstown and more recently a stand of c 50 plants near lake wallawalla in the far northwest where growing in a roadsides drain ,,,roadside,roadsides,,,,,,,,,,
Ononis repens,"*GipP, *HSF. Also naturalised Tas. Native to Europe. Occasionally reported as a weed of pasture lands in the south of the State; possibly not truly naturalised.", also naturalised native to europe occasionally reported as a weed of pasture lands in the south of the state possibly nottruly naturalised ,,,pasture,pasture,,,,,,,,,,
Ononis spinosa,"*VVP, *WaP. Native to Europe. Occasionally reported as a weed of pasture lands in the west of the State. Possibly not truly naturalized.", native to europe occasionally reported as a weed of pasture lands in the west of the state possibly nottruly naturalized ,,,pasture,pasture,,,,,,,,,,
Onopordum acanthium,"*CVU, *EGU, *GipP, *Gold, *HNF, *VVP. Also naturalised SA, NSW, Tas. Native to Europe, northern Africa and Asia. Widespread in central Victoria, often in pastures and on roadsides, and declared a noxious weed in the State.", also naturalised native to europe northern africa and asia widespread in central victoria often in pastures and on roadsidess and declared a noxious weed in the state ,widespread,widespread,pasture roadside,pastures pastures roadsidess,,,,,,,,,,
